date,total_cheese_production
1921-01-01,14.2
1921-02-01,15.3
1921-03-01,21.1
1921-04-01,28.0
1921-05-01,41.2
1921-06-01,43.4
1921-07-01,32.2
1921-08-01,33.0
1921-09-01,28.1
1921-10-01,25.6
1921-11-01,16.0
1921-12-01,13.8
1922-01-01,15.1
1922-02-01,16.3
1922-03-01,22.0
1922-04-01,25.5
1922-05-01,36.8
1922-06-01,42.5
1922-07-01,39.0
1922-08-01,34.6
1922-09-01,30.0
1922-10-01,30.2
1922-11-01,21.6
1922-12-01,18.1
1923-01-01,17.4
1923-02-01,17.7
1923-03-01,23.3
1923-04-01,27.7
1923-05-01,38.0
1923-06-01,47.7
1923-07-01,44.2
1923-08-01,36.7
1923-09-01,33.1
1923-10-01,29.5
1923-11-01,21.0
1923-12-01,19.2
1924-01-01,20.1
1924-02-01,21.4
1924-03-01,26.0
1924-04-01,27.9
1924-05-01,38.2
1924-06-01,49.4
1924-07-01,46.2
1924-08-01,38.1
1924-09-01,34.7
1924-10-01,29.7
1924-11-01,19.6
1924-12-01,17.1
1925-01-01,18.8
1925-02-01,20.1
1925-03-01,24.1
1925-04-01,30.0
1925-05-01,42.4
1925-06-01,51.1
1925-07-01,48.8
1925-08-01,42.0
1925-09-01,35.2
1925-10-01,31.5
1925-11-01,22.7
1925-12-01,20.8
1926-01-01,21.7
1926-02-01,22.2
1926-03-01,28.0
1926-04-01,32.4
1926-05-01,42.9
1926-06-01,51.4
1926-07-01,44.6
1926-08-01,36.9
1926-09-01,32.0
1926-10-01,25.7
1926-11-01,18.2
1926-12-01,17.0
1927-01-01,18.4
1927-02-01,18.9
1927-03-01,23.6
1927-04-01,27.1
1927-05-01,38.4
1927-06-01,45.9
1927-07-01,42.2
1927-08-01,35.3
1927-09-01,28.5
1927-10-01,25.4
1927-11-01,18.5
1927-12-01,18.1
1928-01-01,19.8
1928-02-01,20.9
1928-03-01,25.8
1928-04-01,31.0
1928-05-01,41.1
1928-06-01,49.5
1928-07-01,44.1
1928-08-01,37.6
1928-09-01,33.4
1928-10-01,27.6
1928-11-01,19.8
1928-12-01,18.1
1929-01-01,20.1
1929-02-01,19.7
1929-03-01,24.2
1929-04-01,30.4
1929-05-01,42.8
1929-06-01,52.1
1929-07-01,48.3
1929-08-01,38.1
1929-09-01,31.0
1929-10-01,26.1
1929-11-01,19.8
1929-12-01,20.3
1930-01-01,23.7
1930-02-01,23.0
1930-03-01,28.5
1930-04-01,34.1
1930-05-01,48.5
1930-06-01,53.9
1930-07-01,45.6
1930-08-01,33.6
1930-09-01,26.7
1930-10-01,23.6
1930-11-01,18.8
1930-12-01,18.8
1931-01-01,21.9
1931-02-01,22.0
1931-03-01,27.6
1931-04-01,32.9
1931-05-01,44.4
1931-06-01,49.5
1931-07-01,40.6
1931-08-01,33.0
1931-09-01,29.1
1931-10-01,30.5
1931-11-01,23.0
1931-12-01,20.0
1932-01-01,20.9
1932-02-01,22.0
1932-03-01,25.5
1932-04-01,29.7
1932-05-01,41.9
1932-06-01,48.5
1932-07-01,40.2
1932-08-01,34.8
1932-09-01,31.5
1932-10-01,29.3
1932-11-01,23.6
1932-12-01,22.8
1933-01-01,24.9
1933-02-01,23.9
1933-03-01,28.6
1933-04-01,32.4
1933-05-01,43.6
1933-06-01,54.7
1933-07-01,48.2
1933-08-01,42.9
1933-09-01,35.6
1933-10-01,29.9
1933-11-01,21.0
1933-12-01,23.2
1934-01-01,24.6
1934-02-01,24.9
1934-03-01,30.9
1934-04-01,36.5
1934-05-01,48.9
1934-06-01,55.6
1934-07-01,51.1
1934-08-01,45.2
1934-09-01,38.0
1934-10-01,34.0
1934-11-01,24.8
1934-12-01,21.0
1935-01-01,22.2
